YEAR,MO,DY,T2M,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN,QV2M,RH2M,PRECTOTCORR,PS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE,LAT,LON
1982,2,4,-1.58,-4.1,-3.99,-261.93,4.9,-6.31,3.42,75.5,0.01,72.11,2.09,4.8,0.34,4.45,2.06,4.11,0.44,3.67,27.91,85.74
1982,2,5,-4.17,-7.67,-6.42,-260.68,2.42,-10.05,2.44,68.88,0,71.98,2.43,4.19,0.77,3.41,2.48,3.59,0.91,2.69,27.91,85.74
1982,2,6,-4.58,-9.64,-6.44,-254.19,5.58,-13.38,1.83,54.81,0,71.84,3.7,7.77,0.86,6.91,3.98,7.73,1.07,6.66,27.91,85.74
1982,2,7,-3.07,-7.09,-4.85,-258.25,4.94,-9.97,2.5,61.88,1.38,71.86,2.48,4.46,0.75,3.71,2.48,3.69,1.09,2.6,27.91,85.74
1982,2,8,-3.6,-5.56,-4.55,-263.49,2.11,-7.55,3.17,81.88,1.49,71.74,2.38,5.73,0.79,4.95,2.54,5.2,0.88,4.32,27.91,85.74
1982,2,9,-2.62,-7.3,-5.63,-258.52,5.5,-9.13,2.26,55.62,0,71.85,2.92,4.2,1.8,2.4,3.49,4.26,2.58,1.68,27.91,85.74
1982,2,10,0.1,-4.73,-2.73,-258.45,8.4,-6.31,2.69,51.12,1.15,72.12,2.48,4.56,0.54,4.02,2.57,3.96,0.79,3.16,27.91,85.74
1982,2,11,1.3,-1.91,-0.94,-262.7,7.54,-2.92,3.72,64.5,0.08,72.1,1.89,4.96,0.48,4.48,1.89,4.24,0.66,3.59,27.91,85.74
1982,2,12,-1.06,-2.95,-3.26,-262.96,4.15,-6.04,3.97,81.81,0.35,72.09,1.8,4.69,0.52,4.16,1.81,4.36,0.6,3.76,27.91,85.74
1982,2,13,-0.83,-4.78,-3.81,-260.83,6.46,-5.86,2.87,61.75,0,72.17,2.41,4.52,0.7,3.83,2.39,3.92,0.78,3.14,27.91,85.74
1982,2,14,-0.35,-5.36,-2.7,-256.66,7.96,-8.53,2.62,52.56,0,72.13,2.89,4.44,1.36,3.09,3.07,4.27,1.73,2.55,27.91,85.74
1982,2,15,1.72,-3.38,-0.22,-260.27,9.18,-3.7,2.93,51.31,0,72.19,2.49,4.32,0.27,4.05,2.52,3.66,0.39,3.27,27.91,85.74
