YEAR,MO,DY,T2M,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN,QV2M,RH2M,PRECTOTCORR,PS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE,LAT,LON
1982,2,5,15.98,11.07,15.87,-260.27,23.65,10.77,5.98,55.31,0,98.91,3.2,5.26,0.64,4.62,4.97,7.88,0.85,7.02,27.24,84.78
1982,2,6,14.44,9.11,14.44,-257.64,23.32,7.81,5.07,52.75,0,98.79,3.16,5.38,1.94,3.45,5.02,6.77,2.38,4.38,27.24,84.78
1982,2,7,14.34,8.43,14.15,-258.34,22.62,7.8,4.64,48.94,0.22,98.84,2.09,3.38,0.7,2.68,3.18,5.94,0.89,5.05,27.24,84.78
1982,2,8,15.51,8.96,14.64,-260.68,23.28,10.8,4.64,43.81,0.01,98.72,2.55,5.54,0.23,5.31,3.75,6.9,0.27,6.62,27.24,84.78
1982,2,9,14.95,8.23,14.09,-259.1,23.15,9.1,4.33,43.94,1.14,98.85,2.38,3.41,1.55,1.86,3.38,4.02,1.48,2.55,27.24,84.78
1982,2,10,15.96,7.73,14.62,-258.04,23.5,8.39,3.72,34.88,0.24,99.04,1.45,2.91,0.1,2.81,1.95,3.66,0.12,3.55,27.24,84.78
1982,2,11,16.91,9.81,16.39,-258.06,24.98,9.9,4.76,41.06,0.68,98.87,2.3,4.14,0.41,3.73,3.44,4.89,0.49,4.4,27.24,84.78
1982,2,12,17.69,12.01,17.48,-259.36,25.07,11.27,6.16,49.06,0.7,98.75,2.2,2.97,0.74,2.23,3.41,5.42,0.78,4.64,27.24,84.78
1982,2,13,18.9,13.71,18.68,-258.84,27.18,12.87,7.08,54.44,0.09,98.81,2.77,4.28,1.51,2.77,4.14,5.82,1.82,4,27.24,84.78
1982,2,14,18.11,11.92,17.88,-259.07,26.36,12.28,5.8,47.38,0,98.86,3.41,5.52,1.88,3.63,5.38,6.48,2.79,3.7,27.24,84.78
1982,2,15,18.27,11.8,17.84,-259.68,25.44,11.97,5.68,44.88,0,98.82,1.64,2.57,0.53,2.05,2.38,5.03,0.77,4.27,27.24,84.78
1982,2,16,17.76,11.98,17.38,-262.61,23.64,13.1,6.04,48.75,0.67,98.9,2.52,3.61,1.23,2.38,3.91,5.48,2.38,3.1,27.24,84.78
1982,2,17,18.61,13.31,18.76,-259.92,26.25,13.01,6.84,52.69,0.93,98.77,2.36,3.47,0.52,2.95,3.55,5.27,0.53,4.74,27.24,84.78
1982,2,18,19.57,13.33,19.51,-258.95,27.91,13.71,6.41,46.88,0,98.65,3.13,5.03,1.47,3.56,4.89,6.48,1.78,4.7,27.24,84.78
1982,2,19,19.48,13.14,19.34,-258.81,28.07,13.73,6.29,47.56,0,98.76,3.61,6.46,1.47,4.99,5.81,7.89,2.45,5.45,27.24,84.78
1982,2,20,18.43,11.55,17.91,-258.61,26.96,12.42,5.43,44.62,0,98.99,2.42,3.8,1.3,2.5,3.72,6.26,1.66,4.59,27.24,84.78
1982,2,21,19.95,12.3,19.3,-257.09,28.85,12.79,5.43,39,0.12,98.92,2.97,4.66,1.62,3.04,4.45,6.03,2.02,4.02,27.24,84.78
1982,2,22,19.96,12.61,19.76,-258.63,28.41,13.9,5.62,40.94,1.87,98.83,3.19,4.62,1.88,2.75,5.06,7.45,2.63,4.81,27.24,84.78
1982,2,23,19.27,11.99,19.48,-258.48,28.21,13.53,5.43,41.81,0,98.84,2.58,4.07,1.31,2.76,4.16,6.55,1.55,5.01,27.24,84.78
1982,2,24,17.83,10.24,17.87,-261.62,24.65,13.12,4.7,38.56,0,98.8,3.16,4.66,1.99,2.67,5.21,7.01,2.77,4.24,27.24,84.78
1982,2,25,16.83,9.55,16.88,-257.02,25.92,9.79,4.58,41.31,0,98.84,2.53,3.73,1.26,2.47,3.97,5.73,1.45,4.29,27.24,84.78
1982,2,26,18.58,10.62,18.42,-256.35,27.99,11.19,4.7,38.5,0,98.85,2.59,4.05,0.27,3.77,3.73,4.88,0.35,4.53,27.24,84.78
1982,2,27,19.94,11.36,19.51,-257.37,29.14,13.36,4.76,34.81,0.04,98.86,2.78,4.32,0.87,3.45,4.34,7.56,0.86,6.7,27.24,84.78
1982,2,28,21.04,14.48,21.17,-256.7,29.91,13.47,6.84,45.56,1.72,98.78,3.42,6.83,0.77,6.06,5.3,8.14,1.03,7.11,27.24,84.78
1982,3,1,21.55,16.37,21.94,-260.44,28.69,15.98,8.48,54.81,8.87,98.72,2.3,4.98,0.68,4.31,3.56,7.73,0.61,7.12,27.24,84.78
1982,3,2,16.4,14.84,16.41,-267.27,19.22,13.33,9.64,82.69,2.71,99.08,1.86,3.84,0.54,3.3,2.86,6.36,0.78,5.58,27.24,84.78
1982,3,3,18.23,13.83,18.84,-259.18,26.38,12.41,7.51,61.38,0.33,99.09,3.48,5.6,1.05,4.55,5.23,8.64,1.83,6.82,27.24,84.78
1982,3,4,17.2,11.62,17.6,-257.9,25.17,9.92,5.92,51.44,1.79,98.86,3.42,5.6,1.51,4.09,5.44,7.16,1.95,5.21,27.24,84.78
1982,3,5,16.58,13,16.98,-263.62,22.62,13.09,7.51,64.5,11.9,98.86,3.19,6.62,1.53,5.09,4.86,7.8,2.95,4.84,27.24,84.78
1982,3,6,17.94,14.92,18.56,-261.06,24.65,12.56,8.85,70.5,1.88,98.67,2.85,4.63,0.39,4.24,4.02,5.53,0.54,4.98,27.24,84.78
1982,3,7,18.83,13.84,19.81,-259.66,26.36,12.87,7.39,58.69,0.01,98.84,3.02,5.02,0.75,4.27,4.87,6.63,1.12,5.52,27.24,84.78
